Sat 15 Nov 2025 22:55:09 IST

SLURM_JOBID:		 8184812
SLURM_JOB_NODELIST:	 cs-pheno-08 

configuration parmas running: problem_type=gymnax es_algorithms=Sep_CMA_ES
Loading Problems ..:   0%|                                                                                                                                             | 0/4 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/jax/_src/ops/scatter.py:93: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
Successfully loaded: Asterix-MinAtar

running the experiment ... [../../results/GymnaxProblem/Asterix-MinAtar/Sep_CMA_ES/0]
Generation 890 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.77 | Mean fitness (Test): 6.00
Generation 900 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 0.77 | Mean fitness (Test): 1.00
Generation 910 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.14 | Mean fitness (Test): 0.00
Generation 920 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 0.96 | Mean fitness (Test): 0.00
Generation 930 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 0.19 | Mean fitness (Test): 0.00
Generation 940 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 12.00 | Mean fitness (Train): 2.71 | Mean fitness (Test): 0.00
Generation 950 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 10.00 | Mean fitness (Train): 0.74 | Mean fitness (Test): 1.00
Generation 960 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 1.35 | Mean fitness (Test): 3.00
Generation 970 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.50 | Mean fitness (Test): 0.00
Generation 980 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 1.27 | Mean fitness (Test): 1.00
Generation 990 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.12 | Mean fitness (Test): 0.00
Generation 1000 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.13 | Mean fitness (Test): 0.00
Generation 1010 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.34 | Mean fitness (Test): 0.00
Generation 1020 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.09 | Mean fitness (Test): 0.00
Generation 1030 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 0.73 | Mean fitness (Test): 1.00
Generation 1040 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.51 | Mean fitness (Test): 0.00
Generation 1050 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 0.59 | Mean fitness (Test): 2.00
Generation 1060 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 2.63 | Mean fitness (Test): 3.00
Generation 1070 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.22 | Mean fitness (Test): 0.00
Generation 1080 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 1.55 | Mean fitness (Test): 2.00
Generation 1090 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.71 | Mean fitness (Test): 3.00
Generation 1100 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.17 | Mean fitness (Test): 1.00
Generation 1110 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 11.00 | Mean fitness (Train): 2.54 | Mean fitness (Test): 0.00
Generation 1120 | Best fitness (Train): 12.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.16 | Mean fitness (Test): 0.00
Generation 1130 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 14.00 | Mean fitness (Train): 1.54 | Mean fitness (Test): 5.00
Generation 1140 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.72 | Mean fitness (Test): 1.00
Generation 1150 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.29 | Mean fitness (Test): 0.00
Generation 1160 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.41 | Mean fitness (Test): 1.00
Generation 1170 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.43 | Mean fitness (Test): 0.00
Generation 1180 | Best fitness (Train): 14.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 0.09 | Mean fitness (Test): 0.00
Generation 1190 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.55 | Mean fitness (Test): 0.00
Generation 1200 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.37 | Mean fitness (Test): 0.00
Generation 1210 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.61 | Mean fitness (Test): 1.00
Generation 1220 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.41 | Mean fitness (Test): 3.00
Generation 1230 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.31 | Mean fitness (Test): 0.00
Generation 1240 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.32 | Mean fitness (Test): 0.00
Generation 1250 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 1.04 | Mean fitness (Test): 1.00
Generation 1260 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 2.67 | Mean fitness (Test): 3.00
Generation 1270 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.33 | Mean fitness (Test): 1.00
Generation 1280 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.81 | Mean fitness (Test): 0.00
Generation 1290 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.16 | Mean fitness (Test): 1.00
Generation 1300 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 10.00 | Mean fitness (Train): 1.25 | Mean fitness (Test): 2.00
Generation 1310 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 0.48 | Mean fitness (Test): 0.00
Generation 1320 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 9.00 | Mean fitness (Train): 0.26 | Mean fitness (Test): 0.00
Generation 1330 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 12.00 | Mean fitness (Train): 1.39 | Mean fitness (Test): 5.00
Generation 1340 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1350 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 9.00 | Mean fitness (Train): 0.57 | Mean fitness (Test): 0.00
Generation 1360 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 1.98 | Mean fitness (Test): 3.00
Generation 1370 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.72 | Mean fitness (Test): 0.00
Generation 1380 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 1.72 | Mean fitness (Test): 2.00
Generation 1390 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.13 | Mean fitness (Test): 0.00
Generation 1400 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.19 | Mean fitness (Test): 0.00
Generation 1410 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.79 | Mean fitness (Test): 0.00
Generation 1420 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 1.50 | Mean fitness (Test): 2.00
Generation 1430 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 10.00 | Mean fitness (Train): 1.45 | Mean fitness (Test): 5.00
Generation 1440 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.32 | Mean fitness (Test): 0.00
Generation 1450 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.29 | Mean fitness (Test): 0.00
Generation 1460 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 11.00 | Mean fitness (Train): 1.52 | Mean fitness (Test): 3.00
Generation 1470 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 13.00 | Mean fitness (Train): 4.66 | Mean fitness (Test): 2.00
Generation 1480 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.92 | Mean fitness (Test): 4.00
Generation 1490 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 2.72 | Mean fitness (Test): 4.00
Generation 1500 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.25 | Mean fitness (Test): 0.00
Generation 1510 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 0.95 | Mean fitness (Test): 5.00
Generation 1520 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 1.12 | Mean fitness (Test): 1.00
Generation 1530 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.26 | Mean fitness (Test): 0.00
Generation 1540 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.51 | Mean fitness (Test): 1.00
Generation 1550 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.33 | Mean fitness (Test): 0.00
Generation 1560 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.69 | Mean fitness (Test): 1.00
Generation 1570 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.64 | Mean fitness (Test): 1.00
Generation 1580 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 1.36 | Mean fitness (Test): 1.00
Generation 1590 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 12.00 | Mean fitness (Train): 2.70 | Mean fitness (Test): 4.00
Generation 1600 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 0.76 | Mean fitness (Test): 2.00
Generation 1610 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 1.97 | Mean fitness (Test): 6.00
Generation 1620 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 0.66 | Mean fitness (Test): 0.00
Generation 1630 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 9.00 | Mean fitness (Train): 1.92 | Mean fitness (Test): 0.00
Generation 1640 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 11.00 | Mean fitness (Train): 3.33 | Mean fitness (Test): 0.00
Generation 1650 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 9.00 | Mean fitness (Train): 1.63 | Mean fitness (Test): 2.00
Generation 1660 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 0.23 | Mean fitness (Test): 0.00
Generation 1670 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 1.00 | Mean fitness (Test): 1.00
Generation 1680 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 12.00 | Mean fitness (Train): 2.05 | Mean fitness (Test): 5.00
Generation 1690 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.12 | Mean fitness (Test): 0.00
Generation 1700 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.73 | Mean fitness (Test): 0.00
Generation 1710 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 0.94 | Mean fitness (Test): 0.00
Generation 1720 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 1.16 | Mean fitness (Test): 1.00
Generation 1730 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.18 | Mean fitness (Test): 0.00
Generation 1740 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 2.09 | Mean fitness (Test): 4.00
Generation 1750 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 1.56 | Mean fitness (Test): 1.00
Generation 1760 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 10.00 | Mean fitness (Train): 1.65 | Mean fitness (Test): 0.00
Generation 1770 | Best fitness (Train): 15.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.49 | Mean fitness (Test): 0.00
Generation 1780 | Best fitness (Train): 16.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.31 | Mean fitness (Test): 1.00
Generation 1790 | Best fitness (Train): 16.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.38 | Mean fitness (Test): 0.00
Generation 1800 | Best fitness (Train): 16.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 0.66 | Mean fitness (Test): 3.00
Generation 1810 | Best fitness (Train): 16.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 1.22 | Mean fitness (Test): 0.00
Generation 1820 | Best fitness (Train): 16.00 | Best fitness in generation (Train): 9.00 | Mean fitness (Train): 1.16 | Mean fitness (Test): 5.00
Generation 1830 | Best fitness (Train): 16.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 1.19 | Mean fitness (Test): 6.00
Generation 1840 | Best fitness (Train): 16.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.38 | Mean fitness (Test): 2.00
Generation 1850 | Best fitness (Train): 16.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 3.90 | Mean fitness (Test): 5.00
Generation 1860 | Best fitness (Train): 16.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 3.24 | Mean fitness (Test): 5.00
