Sat 18 Oct 2025 23:20:43 IDT

SLURM_JOBID:		 7559337
SLURM_JOB_NODELIST:	 ise-cpu256-01 

configuration parmas running: problem_type=bbob es_algorithms=LES
Successfully loaded: sphere
Loading Problems ..:   0%|          | 0/24 [00:00<?, ?it/s]
running the experiment ... [../../results/BBOBProblem/sphere/LearnedES/0]
Generation 016 | Mean fitness (Test): 44.48
Generation 880 | Mean fitness (Test): nan
Generation 896 | Mean fitness (Test): nan
Generation 912 | Mean fitness (Test): nan
Generation 928 | Mean fitness (Test): nan
Generation 944 | Mean fitness (Test): nan
Generation 960 | Mean fitness (Test): nan
Generation 976 | Mean fitness (Test): nan
Generation 992 | Mean fitness (Test): nan
Generation 1008 | Mean fitness (Test): nan
Generation 1024 | Mean fitness (Test): nan
running the experiment ... [../../results/BBOBProblem/sphere/LearnedES/4]
Generation 016 | Mean fitness (Test): 44.52
Generation 032 | Mean fitness (Test): 44.42
Generation 048 | Mean fitness (Test): 44.41
Generation 064 | Mean fitness (Test): nan
Generation 080 | Mean fitness (Test): nan
Generation 096 | Mean fitness (Test): nan
Generation 112 | Mean fitness (Test): nan
Generation 128 | Mean fitness (Test): nan
Generation 144 | Mean fitness (Test): nan
Generation 160 | Mean fitness (Test): nan
Generation 176 | Mean fitness (Test): nan
Generation 192 | Mean fitness (Test): nan
Generation 208 | Mean fitness (Test): nan
Generation 224 | Mean fitness (Test): nan
Generation 240 | Mean fitness (Test): nan
Generation 256 | Mean fitness (Test): nan
Generation 272 | Mean fitness (Test): nan
Generation 288 | Mean fitness (Test): nan
Generation 304 | Mean fitness (Test): nan
Generation 320 | Mean fitness (Test): nan
Generation 336 | Mean fitness (Test): nan
Generation 352 | Mean fitness (Test): nan
Generation 368 | Mean fitness (Test): nan
Generation 384 | Mean fitness (Test): nan
Generation 400 | Mean fitness (Test): nan
Generation 416 | Mean fitness (Test): nan
Generation 432 | Mean fitness (Test): nan
Generation 448 | Mean fitness (Test): nan
Generation 464 | Mean fitness (Test): nan
Generation 480 | Mean fitness (Test): nan
Generation 496 | Mean fitness (Test): nan
Generation 512 | Mean fitness (Test): nan
Generation 528 | Mean fitness (Test): nan
Generation 544 | Mean fitness (Test): nan
Generation 560 | Mean fitness (Test): nan
Generation 576 | Mean fitness (Test): nan
Generation 592 | Mean fitness (Test): nan
Generation 608 | Mean fitness (Test): nan
Generation 624 | Mean fitness (Test): nan
Generation 640 | Mean fitness (Test): nan
Generation 656 | Mean fitness (Test): nan
Generation 672 | Mean fitness (Test): nan
Generation 688 | Mean fitness (Test): nan
Generation 704 | Mean fitness (Test): nan
Generation 720 | Mean fitness (Test): nan
Generation 736 | Mean fitness (Test): nan
Generation 752 | Mean fitness (Test): nan
Generation 768 | Mean fitness (Test): nan
Generation 784 | Mean fitness (Test): nan
Generation 800 | Mean fitness (Test): nan
Generation 816 | Mean fitness (Test): nan
Generation 832 | Mean fitness (Test): nan
Generation 848 | Mean fitness (Test): nan
Generation 864 | Mean fitness (Test): nan
Generation 880 | Mean fitness (Test): nan
Generation 896 | Mean fitness (Test): nan
Generation 912 | Mean fitness (Test): nan
Generation 928 | Mean fitness (Test): nan
Generation 944 | Mean fitness (Test): nan
Generation 960 | Mean fitness (Test): nan
Generation 976 | Mean fitness (Test): nan
Generation 992 | Mean fitness (Test): nan
Generation 1008 | Mean fitness (Test): nan
Generation 1024 | Mean fitness (Test): nan
Running ES algorithms:   0%|          | 0/1 [00:00<?, ?it/s][A
Running ES algorithms: 100%|██████████| 1/1 [06:26<00:00, 386.19s/it][ARunning ES algorithms: 100%|██████████| 1/1 [06:26<00:00, 386.19s/it]
Successfully loaded: ellipsoidal
Loading Problems ..:   4%|▍         | 1/24 [06:39<2:33:13, 399.72s/it]
running the experiment ... [../../results/BBOBProblem/ellipsoidal/LearnedES/0]
Generation 016 | Mean fitness (Test): 9599.12
Generation 032 | Mean fitness (Test): 2509.68
Generation 048 | Mean fitness (Test): 315.44
Generation 064 | Mean fitness (Test): 45.74
Generation 080 | Mean fitness (Test): 44.43
Generation 096 | Mean fitness (Test): 44.41
Generation 112 | Mean fitness (Test): 44.41
Generation 128 | Mean fitness (Test): 44.41
Generation 144 | Mean fitness (Test): 44.41
Generation 160 | Mean fitness (Test): nan
Generation 176 | Mean fitness (Test): nan
Generation 192 | Mean fitness (Test): nan
Generation 208 | Mean fitness (Test): nan
Generation 224 | Mean fitness (Test): nan
Generation 240 | Mean fitness (Test): nan
Generation 256 | Mean fitness (Test): nan
Generation 272 | Mean fitness (Test): nan
Generation 288 | Mean fitness (Test): nan
Generation 304 | Mean fitness (Test): nan
Generation 320 | Mean fitness (Test): nan
Generation 336 | Mean fitness (Test): nan
Generation 352 | Mean fitness (Test): nan
Generation 368 | Mean fitness (Test): nan
Generation 384 | Mean fitness (Test): nan
Generation 400 | Mean fitness (Test): nan
Generation 416 | Mean fitness (Test): nan
Generation 432 | Mean fitness (Test): nan
Generation 448 | Mean fitness (Test): nan
Generation 464 | Mean fitness (Test): nan
Generation 480 | Mean fitness (Test): nan
Generation 496 | Mean fitness (Test): nan
Generation 512 | Mean fitness (Test): nan
Generation 528 | Mean fitness (Test): nan
Generation 544 | Mean fitness (Test): nan
Generation 560 | Mean fitness (Test): nan
Generation 576 | Mean fitness (Test): nan
Generation 592 | Mean fitness (Test): nan
Generation 608 | Mean fitness (Test): nan
Generation 624 | Mean fitness (Test): nan
Generation 640 | Mean fitness (Test): nan
Generation 656 | Mean fitness (Test): nan
Generation 672 | Mean fitness (Test): nan
Generation 688 | Mean fitness (Test): nan
Generation 704 | Mean fitness (Test): nan
Generation 720 | Mean fitness (Test): nan
Generation 736 | Mean fitness (Test): nan
Generation 752 | Mean fitness (Test): nan
Generation 768 | Mean fitness (Test): nan
Generation 784 | Mean fitness (Test): nan
Generation 800 | Mean fitness (Test): nan
Generation 816 | Mean fitness (Test): nan
Generation 832 | Mean fitness (Test): nan
Generation 848 | Mean fitness (Test): nan
Generation 864 | Mean fitness (Test): nan
Generation 880 | Mean fitness (Test): nan
Generation 896 | Mean fitness (Test): nan
Generation 912 | Mean fitness (Test): nan
Generation 928 | Mean fitness (Test): nan
Generation 944 | Mean fitness (Test): nan
Generation 960 | Mean fitness (Test): nan
Generation 976 | Mean fitness (Test): nan
Generation 992 | Mean fitness (Test): nan
Generation 1008 | Mean fitness (Test): nan
Generation 1024 | Mean fitness (Test): nan
running the experiment ... [../../results/BBOBProblem/ellipsoidal/LearnedES/1]
Generation 016 | Mean fitness (Test): 3163.98
Generation 032 | Mean fitness (Test): 193.16
Generation 048 | Mean fitness (Test): 50.70
Generation 064 | Mean fitness (Test): 44.48
Generation 080 | Mean fitness (Test): 44.42
Generation 096 | Mean fitness (Test): 44.41
Generation 112 | Mean fitness (Test): nan
Generation 128 | Mean fitness (Test): nan
Generation 144 | Mean fitness (Test): nan
Generation 160 | Mean fitness (Test): nan
Generation 176 | Mean fitness (Test): nan
Generation 192 | Mean fitness (Test): nan
Generation 208 | Mean fitness (Test): nan
Generation 224 | Mean fitness (Test): nan
Generation 240 | Mean fitness (Test): nan
Generation 256 | Mean fitness (Test): nan
Generation 272 | Mean fitness (Test): nan
Generation 288 | Mean fitness (Test): nan
Generation 304 | Mean fitness (Test): nan
Generation 320 | Mean fitness (Test): nan
Generation 336 | Mean fitness (Test): nan
Generation 352 | Mean fitness (Test): nan
Generation 368 | Mean fitness (Test): nan
Generation 384 | Mean fitness (Test): nan
Generation 400 | Mean fitness (Test): nan
Generation 416 | Mean fitness (Test): nan
Generation 432 | Mean fitness (Test): nan
Generation 448 | Mean fitness (Test): nan
Generation 464 | Mean fitness (Test): nan
Generation 480 | Mean fitness (Test): nan
Generation 496 | Mean fitness (Test): nan
Generation 512 | Mean fitness (Test): nan
Generation 528 | Mean fitness (Test): nan
Generation 544 | Mean fitness (Test): nan
Generation 560 | Mean fitness (Test): nan
Generation 576 | Mean fitness (Test): nan
Generation 592 | Mean fitness (Test): nan
Generation 608 | Mean fitness (Test): nan
Generation 624 | Mean fitness (Test): nan
Generation 640 | Mean fitness (Test): nan
Generation 656 | Mean fitness (Test): nan
Generation 672 | Mean fitness (Test): nan
Generation 688 | Mean fitness (Test): nan
Generation 704 | Mean fitness (Test): nan
Generation 720 | Mean fitness (Test): nan
Generation 736 | Mean fitness (Test): nan
Generation 752 | Mean fitness (Test): nan
Generation 768 | Mean fitness (Test): nan
Generation 784 | Mean fitness (Test): nan
Generation 800 | Mean fitness (Test): nan
Generation 816 | Mean fitness (Test): nan
Generation 832 | Mean fitness (Test): nan
Generation 848 | Mean fitness (Test): nan
Generation 864 | Mean fitness (Test): nan
Generation 880 | Mean fitness (Test): nan
Generation 896 | Mean fitness (Test): nan
Generation 912 | Mean fitness (Test): nan
Generation 928 | Mean fitness (Test): nan
Generation 944 | Mean fitness (Test): nan
Generation 960 | Mean fitness (Test): nan
Generation 976 | Mean fitness (Test): nan
Generation 992 | Mean fitness (Test): nan
Generation 1008 | Mean fitness (Test): nan
Generation 1024 | Mean fitness (Test): nan
running the experiment ... [../../results/BBOBProblem/ellipsoidal/LearnedES/2]
Generation 016 | Mean fitness (Test): 15186.44
Generation 032 | Mean fitness (Test): 1052.83
Generation 048 | Mean fitness (Test): 155.97
Generation 064 | Mean fitness (Test): 44.62
Generation 080 | Mean fitness (Test): 44.44
Generation 096 | Mean fitness (Test): 44.41
Generation 112 | Mean fitness (Test): nan
Generation 128 | Mean fitness (Test): nan
Generation 144 | Mean fitness (Test): nan
Generation 160 | Mean fitness (Test): nan
Generation 176 | Mean fitness (Test): nan
Generation 192 | Mean fitness (Test): nan
Generation 208 | Mean fitness (Test): nan
Generation 224 | Mean fitness (Test): nan
Generation 240 | Mean fitness (Test): nan
Generation 256 | Mean fitness (Test): nan
Generation 272 | Mean fitness (Test): nan
Generation 288 | Mean fitness (Test): nan
Generation 304 | Mean fitness (Test): nan
Generation 320 | Mean fitness (Test): nan
Generation 336 | Mean fitness (Test): nan
Generation 352 | Mean fitness (Test): nan
Generation 368 | Mean fitness (Test): nan
Generation 384 | Mean fitness (Test): nan
Generation 400 | Mean fitness (Test): nan
Generation 416 | Mean fitness (Test): nan
Generation 432 | Mean fitness (Test): nan
Generation 448 | Mean fitness (Test): nan
Generation 464 | Mean fitness (Test): nan
Generation 480 | Mean fitness (Test): nan
Generation 496 | Mean fitness (Test): nan
Generation 512 | Mean fitness (Test): nan
Generation 528 | Mean fitness (Test): nan
Generation 544 | Mean fitness (Test): nan
Generation 560 | Mean fitness (Test): nan
Generation 576 | Mean fitness (Test): nan
Generation 592 | Mean fitness (Test): nan
Generation 608 | Mean fitness (Test): nan
Generation 624 | Mean fitness (Test): nan
Generation 640 | Mean fitness (Test): nan
Generation 656 | Mean fitness (Test): nan
Generation 672 | Mean fitness (Test): nan
Generation 688 | Mean fitness (Test): nan
Generation 704 | Mean fitness (Test): nan
Generation 720 | Mean fitness (Test): nan
Generation 736 | Mean fitness (Test): nan
Generation 752 | Mean fitness (Test): nan
Generation 768 | Mean fitness (Test): nan
Generation 784 | Mean fitness (Test): nan
Generation 800 | Mean fitness (Test): nan
Generation 816 | Mean fitness (Test): nan
Generation 832 | Mean fitness (Test): nan
Generation 848 | Mean fitness (Test): nan
Generation 864 | Mean fitness (Test): nan
Generation 880 | Mean fitness (Test): nan
Generation 896 | Mean fitness (Test): nan
Generation 912 | Mean fitness (Test): nan
Generation 928 | Mean fitness (Test): nan
Generation 944 | Mean fitness (Test): nan
Generation 960 | Mean fitness (Test): nan
Generation 976 | Mean fitness (Test): nan
Generation 992 | Mean fitness (Test): nan
Generation 1008 | Mean fitness (Test): nan
Generation 1024 | Mean fitness (Test): nan
running the experiment ... [../../results/BBOBProblem/ellipsoidal/LearnedES/3]
Generation 016 | Mean fitness (Test): 18523.88
Generation 032 | Mean fitness (Test): 464.43
Generation 048 | Mean fitness (Test): 49.17
Generation 064 | Mean fitness (Test): 44.51
Generation 080 | Mean fitness (Test): 44.42
Generation 096 | Mean fitness (Test): 44.41
Generation 112 | Mean fitness (Test): nan
Generation 128 | Mean fitness (Test): nan
Generation 144 | Mean fitness (Test): nan
Generation 160 | Mean fitness (Test): nan
Generation 176 | Mean fitness (Test): nan
Generation 192 | Mean fitness (Test): nan
Generation 208 | Mean fitness (Test): nan
Generation 224 | Mean fitness (Test): nan
Generation 240 | Mean fitness (Test): nan
Generation 256 | Mean fitness (Test): nan
Generation 272 | Mean fitness (Test): nan
Generation 288 | Mean fitness (Test): nan
Generation 304 | Mean fitness (Test): nan
Generation 320 | Mean fitness (Test): nan
Generation 336 | Mean fitness (Test): nan
Generation 352 | Mean fitness (Test): nan
Generation 368 | Mean fitness (Test): nan
Generation 384 | Mean fitness (Test): nan
Generation 400 | Mean fitness (Test): nan
Generation 416 | Mean fitness (Test): nan
Generation 432 | Mean fitness (Test): nan
Generation 448 | Mean fitness (Test): nan
Generation 464 | Mean fitness (Test): nan
Generation 480 | Mean fitness (Test): nan
Generation 496 | Mean fitness (Test): nan
Generation 512 | Mean fitness (Test): nan
Generation 528 | Mean fitness (Test): nan
Generation 544 | Mean fitness (Test): nan
Generation 560 | Mean fitness (Test): nan
Generation 576 | Mean fitness (Test): nan
Generation 592 | Mean fitness (Test): nan
Generation 608 | Mean fitness (Test): nan
Generation 624 | Mean fitness (Test): nan
Generation 640 | Mean fitness (Test): nan
Generation 656 | Mean fitness (Test): nan
Generation 672 | Mean fitness (Test): nan
Generation 688 | Mean fitness (Test): nan
Generation 704 | Mean fitness (Test): nan
Generation 720 | Mean fitness (Test): nan
Generation 736 | Mean fitness (Test): nan
Generation 752 | Mean fitness (Test): nan
Generation 768 | Mean fitness (Test): nan
Generation 784 | Mean fitness (Test): nan
Generation 800 | Mean fitness (Test): nan
Generation 816 | Mean fitness (Test): nan
Generation 832 | Mean fitness (Test): nan
Generation 848 | Mean fitness (Test): nan
Generation 864 | Mean fitness (Test): nan
Generation 880 | Mean fitness (Test): nan
Generation 896 | Mean fitness (Test): nan
Generation 912 | Mean fitness (Test): nan
Generation 928 | Mean fitness (Test): nan
Generation 944 | Mean fitness (Test): nan
Generation 960 | Mean fitness (Test): nan
Generation 976 | Mean fitness (Test): nan
Generation 992 | Mean fitness (Test): nan
Generation 1008 | Mean fitness (Test): nan
Generation 1024 | Mean fitness (Test): nan
running the experiment ... [../../results/BBOBProblem/ellipsoidal/LearnedES/4]
Generation 016 | Mean fitness (Test): 15026.00
Generation 032 | Mean fitness (Test): 232.56
Generation 048 | Mean fitness (Test): 51.08
Generation 064 | Mean fitness (Test): 44.57
Generation 080 | Mean fitness (Test): 44.42
Generation 096 | Mean fitness (Test): 44.41
Generation 112 | Mean fitness (Test): 44.41
Generation 128 | Mean fitness (Test): nan
Generation 144 | Mean fitness (Test): nan
Generation 160 | Mean fitness (Test): nan
Generation 176 | Mean fitness (Test): nan
Generation 192 | Mean fitness (Test): nan
Generation 208 | Mean fitness (Test): nan
Generation 224 | Mean fitness (Test): nan
Generation 240 | Mean fitness (Test): nan
Generation 256 | Mean fitness (Test): nan
Generation 272 | Mean fitness (Test): nan
Generation 288 | Mean fitness (Test): nan
Generation 304 | Mean fitness (Test): nan
Generation 320 | Mean fitness (Test): nan
Generation 336 | Mean fitness (Test): nan
Generation 352 | Mean fitness (Test): nan
Generation 368 | Mean fitness (Test): nan
Generation 384 | Mean fitness (Test): nan
Generation 400 | Mean fitness (Test): nan
Generation 416 | Mean fitness (Test): nan
Generation 432 | Mean fitness (Test): nan
Generation 448 | Mean fitness (Test): nan
Generation 464 | Mean fitness (Test): nan
Generation 480 | Mean fitness (Test): nan
Generation 496 | Mean fitness (Test): nan
Generation 512 | Mean fitness (Test): nan
Generation 528 | Mean fitness (Test): nan
Generation 544 | Mean fitness (Test): nan
Generation 560 | Mean fitness (Test): nan
Generation 576 | Mean fitness (Test): nan
Generation 592 | Mean fitness (Test): nan
Generation 608 | Mean fitness (Test): nan
Generation 624 | Mean fitness (Test): nan
Generation 640 | Mean fitness (Test): nan
Generation 656 | Mean fitness (Test): nan
Generation 672 | Mean fitness (Test): nan
Generation 688 | Mean fitness (Test): nan
Generation 704 | Mean fitness (Test): nan
Generation 720 | Mean fitness (Test): nan
Generation 736 | Mean fitness (Test): nan
Generation 752 | Mean fitness (Test): nan
Generation 768 | Mean fitness (Test): nan
Generation 784 | Mean fitness (Test): nan
Generation 800 | Mean fitness (Test): nan
Generation 816 | Mean fitness (Test): nan
Generation 832 | Mean fitness (Test): nan
Generation 848 | Mean fitness (Test): nan
Generation 864 | Mean fitness (Test): nan
Generation 880 | Mean fitness (Test): nan
Generation 896 | Mean fitness (Test): nan
Generation 912 | Mean fitness (Test): nan
Generation 928 | Mean fitness (Test): nan
Generation 944 | Mean fitness (Test): nan
Generation 960 | Mean fitness (Test): nan
Generation 976 | Mean fitness (Test): nan
Generation 992 | Mean fitness (Test): nan
Generation 1008 | Mean fitness (Test): nan
Generation 1024 | Mean fitness (Test): nan
Running ES algorithms:   0%|          | 0/1 [00:00<?, ?it/s][A
Running ES algorithms: 100%|██████████| 1/1 [07:00<00:00, 420.82s/it][ARunning ES algorithms: 100%|██████████| 1/1 [07:00<00:00, 420.82s/it]
Successfully loaded: rastrigin
Loading Problems ..:   8%|▊         | 2/24 [13:45<2:32:15, 415.24s/it]
running the experiment ... [../../results/BBOBProblem/rastrigin/LearnedES/0]
